,date,open,high,low,close,Adj Close,volume
838,2004-01-06,1119.75,1123.5,1115.5,1122.0,1122.0,520267
839,2004-01-07,1121.75,1126.75,1114.75,1125.5,1125.5,623738
840,2004-01-08,1125.5,1130.5,1123.75,1129.5,1129.5,655254
841,2004-01-09,1129.5,1131.0,1119.0,1120.0,1120.0,870229
842,2004-01-12,1119.5,1128.5,1118.25,1128.25,1128.25,636419
843,2004-01-13,1128.25,1129.25,1113.75,1121.25,1121.25,739977
844,2004-01-14,1121.25,1132.5,1119.25,1131.25,1131.25,530133
845,2004-01-15,1129.75,1136.5,1123.0,1133.25,1133.25,876169
846,2004-01-16,1133.0,1139.0,1132.0,1138.0,1138.0,876169
847,2004-01-19,1137.75,1140.75,1135.5,1136.25,1136.25,574795
848,2004-01-20,1137.75,1142.25,1134.0,1137.5,1137.5,563145
849,2004-01-21,1137.25,1148.75,1132.75,1146.0,1146.0,683620
850,2004-01-22,1146.0,1149.25,1141.5,1144.0,1144.0,556580
851,2004-01-23,1141.75,1149.25,1135.25,1140.25,1140.25,641861
852,2004-01-26,1140.0,1155.0,1138.0,1154.25,1154.25,588066
853,2004-01-27,1154.25,1154.75,1142.0,1142.5,1142.5,655547
854,2004-01-28,1142.25,1148.0,1124.75,1129.25,1129.25,821903
855,2004-01-29,1128.5,1133.75,1120.75,1130.25,1130.25,886218
856,2004-01-30,1131.0,1132.25,1126.0,1130.0,1130.0,585391
857,2004-02-02,1130.25,1142.25,1126.5,1134.5,1134.5,675576
858,2004-02-03,1134.5,1136.5,1129.5,1133.0,1133.0,594482
859,2004-02-04,1133.0,1133.5,1122.0,1124.0,1124.0,771930
860,2004-02-05,1123.75,1130.25,1122.5,1126.5,1126.5,579920
861,2004-02-06,1126.75,1142.0,1125.0,1139.0,1139.0,646603
862,2004-02-09,1139.25,1143.75,1137.75,1140.0,1140.0,472032
863,2004-02-10,1140.25,1146.75,1137.5,1143.25,1143.25,506464
864,2004-02-11,1143.25,1158.75,1141.25,1155.25,1155.25,735265
865,2004-02-12,1155.25,1157.5,1150.5,1151.0,1151.0,447641
866,2004-02-13,1151.5,1156.75,1142.0,1145.75,1145.75,447641
867,2004-02-16,1145.5,1148.25,1145.25,1148.0,1148.0,534255
868,2004-02-17,1145.5,1158.75,1145.25,1156.5,1156.5,472647
869,2004-02-18,1156.5,1158.75,1148.25,1151.25,1151.25,534794
870,2004-02-19,1151.25,1158.5,1145.25,1147.25,1147.25,645777
871,2004-02-20,1146.75,1151.0,1137.75,1143.75,1143.75,686761
872,2004-02-23,1144.0,1147.5,1136.0,1140.25,1140.25,611027
873,2004-02-24,1144.0,1144.25,1133.25,1138.5,1138.5,742235
874,2004-02-25,1139.0,1145.0,1137.0,1143.0,1143.0,556898
875,2004-02-26,1143.25,1147.25,1137.75,1143.25,1143.25,528708
876,2004-02-27,1143.75,1152.0,1140.5,1144.5,1144.5,593104
877,2004-03-01,1144.25,1157.5,1144.25,1155.5,1155.5,533975
878,2004-03-02,1155.5,1156.75,1146.5,1149.0,1149.0,588494
879,2004-03-03,1149.25,1152.75,1143.25,1150.75,1150.75,640846
880,2004-03-04,1150.5,1155.25,1149.25,1154.25,1154.25,410537
881,2004-03-05,1153.25,1163.75,1146.5,1157.75,1157.75,1078580
882,2004-03-08,1158.0,1160.0,1143.25,1144.0,1144.0,644665
883,2004-03-09,1144.0,1147.0,1136.25,1139.5,1139.5,777885
884,2004-03-10,1139.5,1141.75,1119.5,1120.25,1120.25,930475
885,2004-03-11,1120.25,1126.5,1104.5,1105.5,1105.5,306870
886,2004-03-12,1105.75,1120.75,1102.25,1119.25,1119.25,119451
887,2004-03-15,1117.5,1122.0,1102.5,1106.25,1106.25,67433
888,2004-03-16,1106.5,1114.25,1102.5,1111.5,1111.5,58429
889,2004-03-17,1111.75,1126.0,1110.75,1123.75,1123.75,57211
890,2004-03-18,1123.75,1126.75,1112.75,1124.25,1124.25,54851
891,2004-03-19,1124.75,1128.0,1122.0,1120.1800537109375,1120.1800537109375,649991
892,2004-03-22,1107.5,1107.5,1087.5,1093.25,1093.25,972312
893,2004-03-23,1093.25,1100.25,1089.75,1091.25,1091.25,753983
894,2004-03-24,1091.5,1097.5,1084.75,1091.5,1091.5,827573
895,2004-03-25,1091.75,1109.25,1090.0,1106.0,1106.0,664861
896,2004-03-26,1106.25,1114.0,1104.25,1106.0,1106.0,664861
897,2004-03-29,1106.0,1123.5,1106.0,1121.75,1121.75,669922
898,2004-03-30,1121.75,1126.75,1117.5,1126.0,1126.0,562087
899,2004-03-31,1126.0,1129.75,1119.75,1125.0,1125.0,693645
900,2004-04-01,1126.75,1134.75,1123.5,1133.5,1133.5,640574
901,2004-04-02,1133.25,1145.0,1132.0,1142.0,1142.0,773288
902,2004-04-05,1141.5,1149.5,1138.0,1148.25,1148.25,479671
903,2004-04-06,1148.25,1148.5,1141.5,1144.75,1144.75,469548
904,2004-04-07,1144.5,1146.5,1137.0,1142.25,1142.25,632450
905,2004-04-08,1142.25,1154.5,1133.0,1139.5,1139.5,640090
906,2004-04-12,1139.0,1146.5,1136.0,1144.0,1144.0,384108
907,2004-04-13,1144.25,1150.0,1126.25,1128.25,1128.25,828295
908,2004-04-14,1128.0,1132.0,1120.75,1129.75,1129.75,972966
909,2004-04-15,1129.25,1133.5,1119.0,1125.0,1125.0,880208
910,2004-04-16,1124.5,1136.0,1122.0,1134.0,1134.0,681187
911,2004-04-19,1132.5,1135.25,1128.25,1133.75,1133.75,507413
912,2004-04-20,1133.5,1138.5,1113.25,1114.5,1114.5,774369
913,2004-04-21,1115.5,1124.75,1114.25,1122.5,1122.5,861177
914,2004-04-22,1124.0,1142.0,1118.25,1136.75,1136.75,848340
915,2004-04-23,1140.0,1142.25,1133.25,1139.5,1139.5,515762
916,2004-04-26,1138.25,1144.25,1131.0,1138.0,1138.0,554092
917,2004-04-27,1137.75,1146.25,1134.75,1138.0,1138.0,743858
918,2004-04-28,1138.0,1138.25,1120.0,1123.5,1123.5,837185
919,2004-04-29,1123.0,1128.0,1106.5,1114.0,1114.0,1145900
920,2004-04-30,1113.25,1119.0,1103.75,1106.0,1106.0,817525
921,2004-05-03,1105.25,1118.0,1104.25,1116.0,1116.0,609878
922,2004-05-04,1116.0,1127.5,1111.5,1115.5,1115.5,781489
923,2004-05-05,1115.5,1124.5,1112.5,1122.0,1122.0,665017
924,2004-05-06,1122.0,1122.25,1104.75,1113.0,1113.0,782294
925,2004-05-07,1113.0,1117.0,1094.5,1095.5,1095.5,986625
926,2004-05-10,1095.0,1097.0,1078.0,1083.5,1083.5,1231780
927,2004-05-11,1083.5,1095.25,1081.25,1092.25,1092.25,755064
928,2004-05-12,1092.5,1099.75,1075.25,1098.75,1098.75,1189880
929,2004-05-13,1098.5,1102.5,1090.75,1093.75,1093.75,868300
930,2004-05-14,1093.5,1102.0,1085.75,1094.75,1094.75,857016
931,2004-05-17,1094.0,1094.75,1078.25,1085.5,1085.5,819851
